Player,Team,Position,Games,W,L,WinRate,Lvl,K,D,A,Gold,LH,Denies,GPM,XPM,KDA,KDAAvg,KDADiff,HeroDamage,TowerDamage,Healing,GoldSpent,LevelsPM,KillsPM,DeathsPM,AssistsPM,LHPM,DeniesPM,DmgPM,TowerDmgPM,HealingPM,TotalDamage
Agressif,CDEC,Carry,11,6,5,0.545,19.7,7.5,3.4,11.5,1882,271.4,21.9,532,545,5.6,9.3,4.1,14490,2610,108,18979,0.51,0.2,0.08,0.3,6.9,0.58,384,66.1,2.9,17100
ShiKi,CDEC,Midlane,11,6,5,0.545,17.9,7.3,4.3,9.5,2996,192.7,15.1,462,463,3.9,5.5,3,11064,1259,55,15245,0.46,0.19,0.11,0.24,4.9,0.42,284,33.7,1.6,12323
xZ,CDEC,Offlane,11,6,5,0.545,16.5,3.2,3.7,12.8,2155,140.7,2.3,355,390,4.3,5.6,-0.5,7460,593,660,11431,0.43,0.08,0.09,0.33,3.7,0.05,193,15.7,20,8053
Q,CDEC,Support,11,6,5,0.545,13.8,4.5,3.4,10.2,1555,55,2.9,283,280,4.4,7.8,1.1,6727,365,544,9718,0.36,0.12,0.08,0.27,1.4,0.07,175,9.9,13.5,7092
Garder,CDEC,Support,11,6,5,0.545,14.3,2.5,4.4,12.2,1629,39.4,0.8,280,295,3.4,3.9,-1.8,5747,243,1125,9458,0.37,0.06,0.11,0.32,1,0.02,147,6.3,29.2,5990
Arteezy,EvilGeniuses,Carry,17,10,7,0.588,21.6,7.5,4.4,9.9,1252,346.3,10.8,599,587,4,5.1,3.1,14101,2730,8,23048,0.51,0.18,0.09,0.25,8,0.25,342,67.5,0.2,16831
Sumail,EvilGeniuses,Midlane,17,10,7,0.588,20.1,8.3,4.6,10.7,2582,292.7,11.5,524,525,4.1,6.3,3.7,15528,925,148,19235,0.48,0.21,0.1,0.26,6.6,0.27,371,24.5,3.7,16453
Universe,EvilGeniuses,Offlane,17,10,7,0.588,17.4,4.9,3.8,10.1,1910,149.6,4.3,376,405,4,6.2,1.1,7966,536,456,13828,0.42,0.12,0.08,0.26,3.5,0.12,197,13.9,13.7,8502
Fear,EvilGeniuses,Support,17,10,7,0.588,15.8,3.9,3.6,10.9,1600,58,3.2,284,332,4.1,6.8,0.3,5862,414,1143,10229,0.38,0.1,0.08,0.27,1.3,0.08,141,9.7,28.9,6276
Ppd,EvilGeniuses,Support,17,10,7,0.588,14.1,1.5,4.6,10.2,1478,48.1,1.3,251,267,2.5,4,-3.1,5187,211,194,8895,0.33,0.04,0.1,0.25,1.1,0.03,127,5.3,3.2,5398
Cty,EHOME,Carry,17,10,7,0.588,19.9,7.8,3.1,8.1,2190,290.1,16.5,573,584,5.2,8.4,4.8,11779,2016,228,20311,0.55,0.21,0.08,0.22,7.6,0.48,319,52.7,4.9,13795
Oldchicken,EHOME,Midlane,17,10,7,0.588,17.5,6.6,4.8,9.2,2003,208.1,10.8,483,471,3.3,3.7,1.8,11847,2448,390,15841,0.48,0.19,0.13,0.25,5.6,0.3,334,66.1,11.4,14295
Eleven,EHOME,Offlane,17,10,7,0.588,14.5,2.9,6.2,11.6,1498,92.9,5.8,323,334,2.3,4.9,-3.3,7335,181,876,9648,0.4,0.08,0.17,0.33,2.5,0.16,203,5,22,7516
Kaka,EHOME,Support,17,10,7,0.588,13.9,2.8,4.1,9.4,1437,62.4,1.6,309,301,3,4.4,-1.3,5259,380,1713,9976,0.38,0.08,0.11,0.25,1.7,0.04,146,11.8,44.8,5639
Lanm,EHOME,Support,17,10,7,0.588,13.7,2.8,3.4,8.3,1469,49.8,3.4,271,297,3.3,5.2,-0.6,5116,538,1346,8676,0.38,0.07,0.1,0.23,1.3,0.09,131,12.6,43.4,5654
Black,Fnatic.MY,Carry,6,1,5,0.167,17.5,3,3.7,3,2391,288.5,12.8,474,439,1.6,2.1,-0.7,7191,1823,107,15888,0.46,0.08,0.1,0.08,7.3,0.32,193,44.1,2.3,9014
Chrissy,Fnatic.MY,Midlane,6,1,5,0.167,15.5,2.8,6,3.2,1589,152,8.2,336,358,1,1.2,-3.2,6678,1745,1253,11519,0.4,0.07,0.17,0.09,3.6,0.21,175,40.1,37.5,8423
Ohaiyo,Fnatic.MY,Offlane,6,1,5,0.167,15.5,2.3,7.2,5.7,1091,115.5,3.8,301,343,1.1,1.5,-4.8,6614,192,395,10565,0.4,0.06,0.2,0.14,2.9,0.1,177,4.1,11,6806
Mushi,Fnatic.MY,Support,6,1,5,0.167,14,2.2,5.5,5,1203,109.8,4,300,302,1.3,1.4,-3.3,4998,174,0,9628,0.37,0.06,0.15,0.13,3,0.1,136,4.8,0,5172
Net,Fnatic.MY,Support,6,1,5,0.167,12.2,0.7,5.7,4.8,813,71.8,2.2,232,226,1,1,-5,4460,79,53,8395,0.32,0.02,0.16,0.13,1.8,0.05,119,1.6,1.1,4539
Maybe,LGD.cn,Midlane,14,7,7,0.5,20.5,7.2,3.8,7.7,2942,302.9,11.3,552,571,3.9,6.5,3.4,13687,2091,89,20056,0.51,0.18,0.09,0.18,7.2,0.27,340,53.5,2.3,15778
Sylar,LGD.cn,Carry,14,7,7,0.5,19.6,6.8,3.9,7.1,2902,293.4,21.1,523,516,3.5,4,2.9,11600,2582,119,18756,0.49,0.16,0.1,0.17,6.9,0.54,276,63.5,2.9,14182
Rotk,LGD.cn,Offlane,14,7,7,0.5,15.9,2.1,5,10.3,1519,131.4,3.5,328,344,2.5,4.2,-2.9,7723,220,576,11209,0.4,0.05,0.13,0.25,3.3,0.09,189,5.1,14.2,7943
DDC,LGD.cn,Support,14,7,7,0.5,14.1,1.4,4.4,8.5,1316,64.1,4.3,261,278,2.2,2.8,-3,4089,427,1308,9082,0.35,0.03,0.11,0.2,1.6,0.1,96,10.9,35.8,4516
MMY,LGD.cn,Support,14,7,7,0.5,13.3,3.6,4.7,8.9,1391,41.9,1.6,254,254,2.7,4.5,-1.1,5288,202,652,8794,0.33,0.09,0.13,0.21,1,0.04,131,4.8,17,5490
Kuku,Mineski,Carry,11,5,6,0.455,17.5,7.1,4.5,5.5,1602,229.1,11.1,504,481,2.8,4.9,2.6,12503,2631,37,16245,0.49,0.2,0.13,0.16,6.2,0.3,357,75.4,0.9,15134
Jay,Mineski,Midlane,11,5,6,0.455,17.4,5.6,5,6.2,1512,220.6,9,473,477,2.4,4.2,0.6,10338,1386,339,16198,0.49,0.16,0.14,0.17,6,0.24,287,39.9,9.1,11724
ryOyr,Mineski,Offlane,11,5,6,0.455,15.3,2.4,4.2,8.5,2045,139,5.3,347,373,2.6,3,-1.8,5466,272,534,10234,0.43,0.07,0.12,0.23,3.7,0.16,153,7.9,13.7,5738
Julz,Mineski,Support,11,5,6,0.455,12.9,1.8,4.4,7.1,903,49.6,2.7,258,274,2,3.4,-2.5,5160,233,1816,8041,0.36,0.05,0.12,0.2,1.4,0.08,145,6.5,53.1,5393
JessieVash,Mineski,Support,11,5,6,0.455,11.6,2.3,4,8.5,1114,32.6,0.9,235,225,2.7,4,-1.7,4465,141,344,7544,0.32,0.06,0.11,0.24,0.9,0.02,123,4.1,9.9,4606
Hao,Nb,Carry,7,2,5,0.286,17.9,7.3,5.1,7.1,1641,366.9,16.4,551,484,2.8,2.5,2.1,12332,2864,0,21075,0.5,0.19,0.14,0.16,8.1,0.49,296,71.9,0,15196
Mu,Nb,Midlane,7,2,5,0.286,17,5.7,5.7,7.6,1853,238.1,13.7,449,441,2.3,2.7,0,10216,1294,329,15259,0.48,0.14,0.17,0.18,5.8,0.37,249,37.6,4,11510
CapXiao2Lei,Nb,Offlane,7,2,5,0.286,15.1,3.7,4.9,10.6,1605,138,1.1,327,349,2.9,2.2,-1.1,7103,191,544,10799,0.42,0.08,0.14,0.27,3.6,0.03,182,5,16.4,7294
Ch,Nb,Support,7,2,5,0.286,12.9,2.6,4.4,10.3,1456,48,2,267,256,2.9,5,-1.9,5869,370,75,9401,0.35,0.07,0.13,0.26,1.1,0.06,153,9.9,2.6,6239
Banana,Nb,Support,7,2,5,0.286,12.1,2.4,4.6,11.3,813,27.7,0.6,231,227,3,4.7,-2.1,5116,89,511,7294,0.33,0.07,0.11,0.26,0.7,0.02,135,2.9,16.2,5205
Jiajia,Newbee.Y,Carry,7,2,5,0.286,18.6,3.3,4.6,6.1,2153,304.1,12.6,517,491,2.1,2.9,-1.3,9470,2282,545,18016,0.47,0.08,0.12,0.16,7.5,0.32,231,60.6,12.6,11752
Sccc,Newbee.Y,Midlane,7,2,5,0.286,19.6,7.9,3.3,7.4,2274,246.3,19.7,508,545,4.7,9.3,4.6,15261,1815,70,17575,0.51,0.22,0.08,0.21,6.2,0.51,411,45.7,1.8,17076
Sgua_Li,Newbee.Y,Offlane,7,2,5,0.286,14.4,3.4,4.6,9.3,760,106.4,3,318,304,2.8,3.6,-1.1,7923,75,851,11203,0.38,0.11,0.12,0.25,2.6,0.08,228,2.3,21.6,7998
le,Newbee.Y,Support,7,2,5,0.286,13.7,2.7,5,8,968,57.3,2.3,257,278,2.1,2.9,-2.3,5156,455,294,9209,0.35,0.07,0.13,0.2,1.4,0.06,133,10.3,6.5,5611
Mrrr,Newbee.Y,Support,7,2,5,0.286,13.3,1.4,4.6,8.3,1070,49.1,1.3,236,261,2.1,5.3,-3.1,4656,80,0,7483,0.35,0.04,0.12,0.24,1.3,0.03,129,1.7,0,4736
Miracle,OG,Midlane,26,18,8,0.692,19.4,7.5,3.9,8.7,2117,287,11.7,603,552,4.1,6.6,3.5,13315,2829,193,21416,0.52,0.2,0.1,0.22,7.5,0.32,347,76.8,5.7,16144
Bigdaddy,OG,Carry,26,18,8,0.692,18.7,7.2,3.2,8.9,2410,241.7,13.3,521,515,5,8.3,3.9,12180,2682,100,17855,0.5,0.19,0.08,0.23,6.3,0.37,318,72.3,2.4,14862
MoonMeander,OG,Offlane,26,18,8,0.692,16.2,4.5,4.4,11.1,1969,118,2.4,366,393,3.5,5.5,0.1,9181,351,255,11875,0.43,0.12,0.12,0.29,3.1,0.06,242,9.6,8,9532
Cr1t,OG,Support,26,18,8,0.692,14.8,3,4.1,11.2,1632,60.1,2.8,283,327,3.5,6.3,-1,5711,287,1809,9140,0.39,0.08,0.11,0.29,1.5,0.08,148,8.1,50,5998
Fly,OG,Support,26,18,8,0.692,13.8,2.3,3.6,9.2,1609,55.9,4.1,264,288,3.2,4.8,-1.3,3849,182,2653,8465,0.37,0.06,0.09,0.25,1.4,0.11,105,5.1,66.5,4031
EternalEnvy,Secret,Carry,17,11,6,0.647,20.3,7.9,3.2,9.1,3259,349.1,10.2,569,536,5.3,7.1,4.7,15802,3024,90,22750,0.5,0.18,0.07,0.22,7.7,0.28,352,67.7,2.7,18826
W33,Secret,Midlane,17,11,6,0.647,19.6,8.6,4.6,8.8,2244,235.8,13.5,509,509,3.8,6.2,4,14858,2830,42,18710,0.48,0.21,0.11,0.21,5.6,0.36,365,68.6,1.5,17688
Misery,Secret,Offlane,17,11,6,0.647,16.4,2.7,5.7,11.2,1968,107.4,5.3,329,357,2.4,3.2,-3,5939,328,486,11890,0.4,0.07,0.13,0.27,2.4,0.14,147,8.9,9.8,6267
Puppey,Secret,Support,17,11,6,0.647,14.6,2.5,4.8,8.6,1567,83,6.4,292,294,2.3,3.4,-2.4,5150,606,2741,10556,0.35,0.07,0.11,0.2,2,0.15,122,16.3,74.4,5756
Pieliedie,Secret,Support,17,11,6,0.647,14.5,2.4,5.6,9.8,1595,56.7,3.2,284,279,2.2,3.3,-3.2,5274,244,741,10263,0.35,0.06,0.13,0.23,1.3,0.09,132,7.5,14.4,5518
Hayama,Team Unknown,Carry,7,1,6,0.143,15.9,3.3,4,5.1,944,229.4,14.7,486,428,2.1,2.7,-0.7,9147,767,153,17239,0.47,0.09,0.12,0.14,6.6,0.44,258,21,4.2,9914
Atun,Team Unknown,Midlane,7,1,6,0.143,16.1,5.3,6,3.6,721,181,15.1,433,431,1.5,1.8,-0.7,8078,1515,0,15707,0.47,0.14,0.2,0.1,5.1,0.44,231,39.6,0,9593
Greedy,Team Unknown,Offlane,7,1,6,0.143,14.1,1.7,4.7,6.1,546,133.3,4.7,325,334,1.7,1.9,-3,6179,291,109,10634,0.42,0.05,0.14,0.18,3.8,0.14,184,7.6,3.4,6470
Ztok,Team Unknown,Support,7,1,6,0.143,12.1,2.4,5.3,5.6,368,46.9,2.1,231,243,1.5,1.7,-2.9,5212,188,114,7519,0.36,0.08,0.16,0.15,1.3,0.06,156,4.9,3.1,5400
Accel,Team Unknown,Support,7,1,6,0.143,11.9,1.6,4.9,4.4,332,49.3,3.4,219,235,1.2,1.5,-3.3,3742,84,482,7547,0.35,0.04,0.15,0.13,1.4,0.11,112,2.4,12.7,3826
Noone,Vega,Midlane,14,6,8,0.429,19.9,7.4,4.1,9,2628,295.8,16.8,541,536,3.9,5.9,3.2,14867,2812,111,19425,0.5,0.19,0.1,0.22,7.2,0.41,364,67.5,2.5,17679
9pashaebashu,Vega,Carry,14,6,8,0.429,18.9,6.2,3.6,9.2,2581,260.4,13.4,486,485,4.3,3.9,2.6,11590,1636,61,17811,0.47,0.15,0.08,0.22,6.2,0.33,280,40.9,1.5,13226
Mag,Vega,Offlane,14,6,8,0.429,17.1,4.1,3.8,9.9,1549,178.4,3.6,375,409,3.7,5.1,0.3,7472,366,1448,13695,0.42,0.1,0.09,0.24,4.2,0.1,184,9,33.6,7838
Solo,Vega,Support,14,6,8,0.429,15.1,3.5,6.1,11.1,1404,68,3.1,284,324,2.4,3.9,-2.6,7112,650,1240,10047,0.38,0.08,0.15,0.28,1.8,0.08,171,17.3,31.1,7762
Cema,Vega,Support,14,6,8,0.429,13.5,2.3,5,10.4,948,50.3,1.2,249,258,2.5,4.2,-2.7,5007,245,1610,9041,0.34,0.05,0.12,0.26,1.3,0.03,122,6.5,39.5,5252
Super,VG,Midlane,13,7,6,0.538,18.9,7.6,4.8,9.4,3007,270,6.6,581,516,3.6,5.3,2.8,14684,2427,6,19426,0.5,0.19,0.13,0.23,6.7,0.17,364,53.4,0.2,17111
BurNIng,VG,Carry,13,7,6,0.538,17.6,6.2,3.9,8.5,2441,218.7,12.7,459,455,3.7,4.8,2.2,11378,1848,188,16269,0.47,0.16,0.1,0.21,5.6,0.37,289,43.7,3.5,13226
Iceiceice,VG,Offlane,13,7,6,0.538,16.7,4.1,5.2,10.8,1763,145.1,6.2,370,402,2.8,3.3,-1.2,8300,232,806,12568,0.44,0.11,0.14,0.28,3.5,0.16,214,5.1,15.4,8532
Fy,VG,Support,13,7,6,0.538,14.2,2.3,5.2,10.3,1965,68.9,3.2,272,296,2.4,2.7,-2.9,6767,217,476,8763,0.38,0.06,0.13,0.25,1.8,0.1,188,5.3,9.4,6984
Fenrir,VG,Support,13,7,6,0.538,13,2.3,4.1,9.2,1367,40,2.4,242,253,2.8,3.5,-1.8,4430,112,554,8186,0.35,0.07,0.1,0.24,1,0.07,118,2.4,15.8,4542
God,VP,Midlane,15,9,6,0.6,18.9,8.2,3.7,8.3,2763,253.9,12.5,521,517,4.4,5.3,4.5,12896,2269,242,18456,0.51,0.22,0.09,0.21,6.3,0.34,339,54.4,5.9,15165
Illidan,VP,Carry,15,9,6,0.6,16.7,5,5.3,10.5,2100,173.1,14.7,429,414,2.9,3.6,-0.3,9944,1915,45,14240,0.45,0.14,0.14,0.25,4.7,0.42,277,50.9,1,11859
DkPhobos,VP,Offlane,15,9,6,0.6,15.2,4.3,5,10.3,1370,118.7,4.3,336,347,2.9,4.7,-0.7,7453,474,669,11470,0.41,0.11,0.12,0.27,2.9,0.12,193,11.2,16.7,7927
Lil,VP,Support,15,9,6,0.6,14.4,5.3,4.7,10.7,1680,57.8,2,295,311,3.4,4.2,0.6,8678,545,20,10079,0.39,0.14,0.12,0.28,1.5,0.06,222,14.4,0.4,9223
Fng,VP,Support,15,9,6,0.6,13.5,2.5,6.3,11.6,940,39.6,2.2,249,266,2.2,3.7,-3.8,5481,452,649,8694,0.36,0.06,0.16,0.3,1,0.06,146,10.7,15.6,5933
